,County,Age,Gender,Monthly Income,Highest Level of Education Attained,Occupation,Location,Did you vote in 2017,Will you vote in the Refere,If No Why,How will you vote in the Referendum,If elections are today who would you vote for,If you dont vote for that one who is your second choice,Do you support BBI,Do you know what BBI wants to change,Do you support the Hustler Nation,Do you think the handshake brought us peace,Who influences youin your community,Do you trust your political leaders,Do you trust your religious leaders,Do you trust your elders,Where do you get your News from,Have you understood BBI completely,Will you vote in 2022,Monthly Income (Kshs)
0,trans_nzoia,25-30,male,"0-11,000",kcpe,hustler,urban,yes,undecided,,still_deciding,raila_odinga,none,thinking_about_it,yes,no_response,no_response,no_one,rarely,never,often,tv,i_don_t_care,response,"0-11,000"
1,mombasa,25-30,male,"11,001-20,000",kcpe,business_owner__hotel_shop_kio,peri_urban,yes,no,i_do_not_understand_bbi,still_deciding,kalonzo_musyoka,musalia_mudavadi,thinking_about_it,no,no,yes,mcas,rarely,rarely,rarely,radio,no,yes,"11,001-20,000"
2,kitui,25-30,female,"20,001-50,000",diploma,formal_employment__teacher_acc,urban,yes,yes,,yes__for_it,raila_odinga,musalia_mudavadi,yes,yes,no,yes,no_one,sometimes,often,always,tv,yes,yes,"20,001-50,000"
3,migori,31-35,male,"11,001-20,000",diploma,hustler,urban,no,yes,,yes__for_it,raila_odinga,william_ruto,yes,yes,yes,yes,chief,always,always,always,tv,yes,yes,"11,001-20,000"
4,mombasa,41-50,male,"0-11,000",certificate,informal_employment__jua_kali_,peri_urban,yes,yes,,no__against_it,william_ruto,peter_kenneth,no,yes,yes,no,business_leaders,never,never,never,tv,no,yes,"0-11,000"
5,laikipia,over-61,female,"0-11,000",none,unemployed,urban,yes,yes,,still_deciding,none,none,yes,no,no,no_response,no_one,always,sometimes,always,radio,no,yes,"0-11,000"
6,trans_nzoia,41-50,female,"0-11,000",kcpe,unemployed,rural,yes,undecided,,still_deciding,raila_odinga,none,thinking_about_it,no,no_response,yes,mcas,sometimes,always,often,radio,no,yes,"0-11,000"
7,migori,36-40,male,"0-11,000",diploma,transport__matatu__lorry_boda_,informal_settlement,yes,yes,,yes__for_it,raila_odinga,musalia_mudavadi,yes,a_little,no,yes,mp,sometimes,always,never,radio,no,yes,"0-11,000"
8,trans_nzoia,41-50,male,"11,001-20,000",certificate,hustler,peri_urban,yes,yes,,no__against_it,william_ruto,gideon_moi,no,a_little,yes,yes,church_leaders,sometimes,always,always,tv,no,yes,"11,001-20,000"
9,trans_nzoia,36-40,female,"0-11,000",kcse,informal_employment__jua_kali_,peri_urban,yes,no,i_do_not_understand_bbi,yes__for_it,william_ruto,none,yes,yes,yes,yes,mp,rarely,always,always,tv,no,yes,"0-11,000"
10,trans_nzoia,31-35,male,"0-11,000",kcse,business_owner__hotel_shop_kio,peri_urban,yes,undecided,,still_deciding,william_ruto,william_ruto,no,a_little,yes,yes,my_friends,never,always,often,whatsapp,no,yes,"0-11,000"
11,narok,31-35,female,"0-11,000",kcpe,business_owner__hotel_shop_kio,rural,yes,no,i_am_not_interested,i_will_not_vote,william_ruto,none,no,no,not_sure,no,no_one,rarely,always,always,radio,no,undecided,"0-11,000"
12,trans_nzoia,25-30,male,"0-11,000",certificate,business_owner__hotel_shop_kio,peri_urban,yes,undecided,,still_deciding,william_ruto,none,thinking_about_it,a_little,yes,no,my_friends,never,sometimes,always,facebook,no,yes,"0-11,000"
13,trans_nzoia,36-40,male,"0-11,000",certificate,subsistence_farmer_subsistence,peri_urban,yes,yes,,no__against_it,musalia_mudavadi,william_ruto,no,no,yes,no,business_leaders,never,sometimes,sometimes,tv,no,yes,"0-11,000"
14,trans_nzoia,51-60,male,"0-11,000",none,subsistence_farmer_subsistence,rural,yes,undecided,,yes__for_it,none,none,no,no,yes,yes,business_leaders,often,often,always,radio,no,yes,"0-11,000"
15,trans_nzoia,25-30,female,"0-11,000",kcpe,subsistence_farmer_subsistence,rural,yes,undecided,,still_deciding,musalia_mudavadi,musalia_mudavadi,no,no,yes,yes,church_leaders,never,always,often,tv,no,yes,"0-11,000"
16,trans_nzoia,18-24,male,"0-11,000",kcse,unemployed,peri_urban,yes,undecided,,still_deciding,musalia_mudavadi,musalia_mudavadi,no,no,yes,yes,my_friends,often,always,sometimes,tv,no,yes,"0-11,000"
17,trans_nzoia,18-24,male,"0-11,000",certificate,unemployed,peri_urban,no,yes,,yes__for_it,william_ruto,fred_matiangi,yes,a_little,yes,no,my_friends,sometimes,sometimes,sometimes,youtube,no,yes,"0-11,000"
18,uasin_gishu,41-50,female,"50,001-100,000",none,unemployed,urban,yes,yes,,yes__for_it,raila_odinga,kalonzo_musyoka,don_t_care,yes,yes,yes,governor,often,often,often,radio,no,no,"50,001-100,000"
19,trans_nzoia,18-24,male,"0-11,000",kcse,unemployed,urban,no,yes,,still_deciding,musalia_mudavadi,william_ruto,thinking_about_it,no,yes,yes,mp,rarely,sometimes,sometimes,whatsapp,no,yes,"0-11,000"
